Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
PSO,100,27,69,0.87328,0.002836,0.029996,0.439898,2.171612
AOA,100,27,69,0.911853,0.002727,0.031241,0.362282,2.75322
GWO,100,27,69,0.918693,0.002668,0.032502,0.386047,2.507845
FCFS,100,28,70,19.084,0.002758,0.038333,0.427296,2.883173
RoundRobin,100,28,70,19.084,0.002758,0.038333,0.427296,2.883173
Random,100,28,70,36.24,0.002832,0.03868,0.133572,5.203975
MinMin,100,28,70,7.642,0.003068,0.026847,0.653749,0.995575
MaxMin,100,28,70,5.324,0.002956,0.03146,0.946874,0.253097
LSCBO,100,28,70,0.875717,0.002733,0.031501,0.538064,2.216797
CBO,100,28,70,1.018333,0.00277,0.033495,0.378232,2.36223
PSO,100,28,70,0.880464,0.002697,0.031914,0.543084,1.71953
AOA,100,28,70,1.083018,0.002643,0.035726,0.331884,2.59121
GWO,100,28,70,0.81684,0.002895,0.031521,0.531747,1.795632
FCFS,100,29,71,18.812,0.003172,0.043351,0.351853,2.408636
RoundRobin,100,29,71,18.812,0.003172,0.043351,0.351853,2.408636
Random,100,29,71,32.592,0.003201,0.045017,0.177352,3.870686
MinMin,100,29,71,7.83,0.003255,0.02549,0.723739,0.862502
MaxMin,100,29,71,5.577,0.003261,0.032345,0.937232,0.294037
LSCBO,100,29,71,1.07864,0.00306,0.039065,0.403427,2.450745
CBO,100,29,71,1.166861,0.003203,0.040268,0.343111,2.389793
PSO,100,29,71,1.245073,0.003068,0.035951,0.343161,3.143782
AOA,100,29,71,1.200745,0.002966,0.036646,0.34111,2.931346
GWO,100,29,71,1.202467,0.003042,0.03865,0.384575,2.363302
FCFS,100,30,72,16.988,0.002838,0.042578,0.363441,2.247069
RoundRobin,100,30,72,16.988,0.002838,0.042578,0.363441,2.247069
Random,100,30,72,19.952,0.002668,0.037727,0.339299,2.678013
MinMin,100,30,72,7.352,0.002781,0.025457,0.745454,0.844155
MaxMin,100,30,72,5.577333,0.002818,0.031807,0.92775,0.299875
LSCBO,100,30,72,1.119386,0.00286,0.038092,0.380888,2.554965
CBO,100,30,72,1.105185,0.0028,0.037946,0.44004,2.476886
PSO,100,30,72,0.955145,0.00267,0.033358,0.453276,2.185093
AOA,100,30,72,1.227454,0.00288,0.035748,0.299132,2.989325
GWO,100,30,72,0.965229,0.002803,0.034893,0.454016,2.47711
FCFS,300,1,43,46.304,0.009978,0.133474,0.34678,1.896351
RoundRobin,300,1,43,46.304,0.009978,0.133474,0.34678,1.896351
Random,300,1,43,79.24,0.009886,0.137954,0.219091,3.523445
MinMin,300,1,43,16.581,0.010514,0.091679,0.857206,0.676962
MaxMin,300,1,43,15.04,0.010374,0.090932,0.947426,0.150113
LSCBO,300,1,43,2.18785,0.009764,0.113009,0.518751,1.862415
CBO,300,1,43,2.88772,0.009444,0.110534,0.349278,2.643576
PSO,300,1,43,2.926844,0.009721,0.116661,0.375598,2.745288
AOA,300,1,43,3.031949,0.009801,0.113451,0.334025,2.547259
GWO,300,1,43,2.386309,0.00966,0.114231,0.480495,2.102221
FCFS,300,2,44,49.192,0.009239,0.105971,0.36915,2.521611
RoundRobin,300,2,44,49.192,0.009239,0.105971,0.36915,2.521611
Random,300,2,44,70.736,0.009021,0.10766,0.165892,3.9934
MinMin,300,2,44,14.809333,0.009628,0.07546,0.764698,0.678787
MaxMin,300,2,44,13.272,0.009703,0.079902,0.948456,0.142046
LSCBO,300,2,44,2.081842,0.009038,0.090442,0.501292,2.20865
CBO,300,2,44,2.350771,0.009181,0.092788,0.370079,3.01553
PSO,300,2,44,1.994089,0.009407,0.089861,0.447853,2.224315
AOA,300,2,44,2.777599,0.009555,0.091476,0.264327,3.091617
GWO,300,2,44,1.626922,0.00913,0.090394,0.553491,1.947981
FCFS,300,3,45,53.472,0.009305,0.09611,0.37571,3.107456
RoundRobin,300,3,45,53.472,0.009305,0.09611,0.37571,3.107456
Random,300,3,45,84.064,0.009044,0.099494,0.13706,5.167663
MinMin,300,3,45,13.746,0.009833,0.074947,0.838081,0.539473
MaxMin,300,3,45,12.722,0.009863,0.077032,0.972993,0.110421
LSCBO,300,3,45,1.846774,0.009418,0.089187,0.485539,2.387463
CBO,300,3,45,1.913665,0.009458,0.088974,0.466009,2.742229
PSO,300,3,45,2.185465,0.00971,0.086654,0.372402,2.747999
AOA,300,3,45,1.685842,0.009263,0.087674,0.522271,1.844429
GWO,300,3,45,1.84366,0.009437,0.08895,0.485775,2.604796
FCFS,300,4,46,41.392,0.008213,0.097305,0.453797,2.1859
RoundRobin,300,4,46,41.392,0.008213,0.097305,0.453797,2.1859
Random,300,4,46,58.16,0.008286,0.096367,0.329176,3.632944
MinMin,300,4,46,14.733333,0.008677,0.077343,0.808557,0.695594
MaxMin,300,4,46,13.213333,0.008752,0.079965,0.960328,0.128131
LSCBO,300,4,46,1.374593,0.008338,0.086075,0.604662,1.941266
CBO,300,4,46,1.932844,0.008075,0.092775,0.48211,2.075206
PSO,300,4,46,2.017702,0.008232,0.091481,0.452019,2.594751
AOA,300,4,46,1.774134,0.008147,0.090027,0.510403,2.064936
GWO,300,4,46,1.782248,0.00829,0.088332,0.499016,2.433084
FCFS,300,5,47,48.276,0.008799,0.124658,0.4182,2.087085
RoundRobin,300,5,47,48.276,0.008799,0.124658,0.4182,2.087085
Random,300,5,47,77.84,0.008936,0.12505,0.188822,3.81966
MinMin,300,5,47,16.556,0.00913,0.095111,0.901285,0.324774
MaxMin,300,5,47,15.264,0.009056,0.094835,0.988437,0.033118
LSCBO,300,5,47,2.487675,0.008549,0.114331,0.482544,1.914565
CBO,300,5,47,2.776275,0.008918,0.114378,0.39621,2.638394
PSO,300,5,47,2.321881,0.008689,0.108225,0.491192,2.223214
AOA,300,5,47,2.734294,0.008951,0.105378,0.354902,3.119856
GWO,300,5,47,2.245709,0.008852,0.111246,0.497761,1.86301
FCFS,300,6,48,47.832,0.009284,0.135969,0.369446,2.010838
RoundRobin,300,6,48,47.832,0.009284,0.135969,0.369446,2.010838
Random,300,6,48,81.112,0.009041,0.137491,0.222328,3.588492
MinMin,300,6,48,16.539,0.009464,0.094914,0.870648,0.664145
MaxMin,300,6,48,15.543,0.009493,0.096624,0.987188,0.042119
LSCBO,300,6,48,3.007063,0.009206,0.12463,0.399072,2.32201
CBO,300,6,48,3.230874,0.009298,0.125862,0.361128,2.827232
PSO,300,6,48,3.002821,0.009122,0.121046,0.382705,2.73052
AOA,300,6,48,3.230874,0.009298,0.125862,0.361128,2.827232
GWO,300,6,48,3.230874,0.009298,0.125862,0.361128,2.827232
FCFS,300,7,49,43.216,0.008611,0.107494,0.427779,2.087066
RoundRobin,300,7,49,43.216,0.008611,0.107494,0.427779,2.087066
Random,300,7,49,53.572,0.008398,0.109245,0.286996,2.957421
MinMin,300,7,49,15.844,0.009177,0.08048,0.764262,0.782707
MaxMin,300,7,49,14.152,0.009005,0.085609,0.953744,0.142615
LSCBO,300,7,49,1.601193,0.008622,0.093221,0.574384,2.233956
CBO,300,7,49,2.010152,0.008233,0.095329,0.553869,1.787402
PSO,300,7,49,2.003902,0.008533,0.096593,0.484462,2.176072
AOA,300,7,49,2.421337,0.008503,0.102118,0.434023,2.805492
GWO,300,7,49,1.962855,0.008453,0.10048,0.51545,2.365831
FCFS,300,8,50,38.924,0.008425,0.105305,0.466786,1.950168
RoundRobin,300,8,50,38.924,0.008425,0.105305,0.466786,1.950168
Random,300,8,50,74.352,0.008621,0.11577,0.100792,3.879923
MinMin,300,8,50,16.072,0.009286,0.077919,0.763572,0.803893
MaxMin,300,8,50,13.798,0.009088,0.08335,0.956092,0.133289
LSCBO,300,8,50,1.867431,0.008586,0.098601,0.530154,2.346123
CBO,300,8,50,2.420686,0.008267,0.101155,0.404042,2.326436
PSO,300,8,50,2.333337,0.008284,0.100282,0.420804,2.262804
AOA,300,8,50,2.450333,0.00899,0.095195,0.360053,3.174061
GWO,300,8,50,2.28962,0.008812,0.097413,0.41482,2.33788
FCFS,300,9,51,44.26,0.008686,0.11729,0.424106,2.052397
RoundRobin,300,9,51,44.26,0.008686,0.11729,0.424106,2.052397
Random,300,9,51,62.944,0.008906,0.10992,0.285606,3.309646
MinMin,300,9,51,16.809333,0.009103,0.092418,0.895504,0.337335
MaxMin,300,9,51,14.776,0.00895,0.091277,0.957324,0.140683
LSCBO,300,9,51,1.828543,0.008591,0.104094,0.564143,2.035126
