Algorithm,TaskCount,Seed,Makespan,LoadBalanceRatio
GWO,500,71,167.8212,0.8071
HHO,500,71,198.2667,0.8759
DBO,500,71,211.4219,0.8604
PSO,500,71,206.1249,0.8938
AOA,500,71,236.5869,1.1629
LSCBO-LS-final,500,72,60.0050,0.1643
LSCBO-LS-wrong,500,72,59.2575,0.1701
CBO,500,72,722.8428,1.4728
GTO,500,72,348.4388,1.1520
WOA,500,72,376.2692,1.2881
GWO,500,72,404.0383,1.1996
HHO,500,72,486.6676,1.8863
DBO,500,72,603.8427,1.4276
PSO,500,72,536.5678,1.4077
AOA,500,72,376.6987,1.6162
LSCBO-LS-final,1000,43,115.6946,0.2613
LSCBO-LS-wrong,1000,43,137.7891,0.3236
CBO,1000,43,440.3697,0.8203
GTO,1000,43,304.7293,0.8244
WOA,1000,43,298.2541,0.7766
GWO,1000,43,434.7948,0.9900
HHO,1000,43,435.7137,0.9202
DBO,1000,43,379.1022,0.8603
PSO,1000,43,384.2421,0.8846
AOA,1000,43,476.6951,1.1696
LSCBO-LS-final,1000,44,187.9581,0.5503
LSCBO-LS-wrong,1000,44,115.4734,0.2454
CBO,1000,44,765.3991,1.4674
GTO,1000,44,569.5427,1.1962
WOA,1000,44,511.5628,2.4142
GWO,1000,44,668.8384,1.1885
HHO,1000,44,430.5490,2.6313
DBO,1000,44,618.7856,1.2009
PSO,1000,44,892.2395,1.5128
AOA,1000,44,773.1659,1.9365
LSCBO-LS-final,1000,45,132.0133,0.3913
LSCBO-LS-wrong,1000,45,94.5920,0.1769
CBO,1000,45,594.5510,1.1611
GTO,1000,45,343.6806,0.9908
WOA,1000,45,350.8762,1.1897
GWO,1000,45,283.3418,0.7617
HHO,1000,45,348.4910,0.9720
DBO,1000,45,443.3867,0.9650
PSO,1000,45,581.4022,1.2670
AOA,1000,45,529.2269,1.1588
LSCBO-LS-final,1000,46,240.0163,0.6204
LSCBO-LS-wrong,1000,46,150.9303,0.3258
CBO,1000,46,775.4004,1.2217
GTO,1000,46,414.5277,0.8634
WOA,1000,46,556.8207,0.9849
GWO,1000,46,445.0337,0.8549
HHO,1000,46,573.5730,1.2485
DBO,1000,46,599.9487,1.0510
PSO,1000,46,624.1446,1.1453
AOA,1000,46,603.2808,1.3386
LSCBO-LS-final,1000,47,130.9867,0.3132
LSCBO-LS-wrong,1000,47,130.3171,0.2812
CBO,1000,47,877.3139,1.2574
GTO,1000,47,538.7441,1.0014
WOA,1000,47,445.1995,1.1964
GWO,1000,47,769.6539,1.3330
HHO,1000,47,436.1652,1.1817
DBO,1000,47,615.4287,1.0659
PSO,1000,47,682.5556,1.4644
AOA,1000,47,719.8227,1.7529
LSCBO-LS-final,1000,48,127.3975,0.2955
LSCBO-LS-wrong,1000,48,125.1638,0.2559
CBO,1000,48,489.6754,0.8809
GTO,1000,48,295.4338,0.6930
WOA,1000,48,339.3547,0.9390
GWO,1000,48,366.7366,0.8654
HHO,1000,48,336.4888,0.8050
DBO,1000,48,374.9114,0.8014
PSO,1000,48,464.9973,1.0403
AOA,1000,48,470.4783,1.1343
LSCBO-LS-final,1000,49,112.6670,0.3515
LSCBO-LS-wrong,1000,49,131.5112,0.3109
CBO,1000,49,400.4762,1.0553
GTO,1000,49,367.6819,0.9870
WOA,1000,49,357.0705,0.9437
GWO,1000,49,374.1950,0.8734
HHO,1000,49,386.1997,0.9067
DBO,1000,49,455.1571,0.9177
PSO,1000,49,515.4648,1.0129
AOA,1000,49,755.3311,1.1731
LSCBO-LS-final,1000,50,130.4736,0.2995
LSCBO-LS-wrong,1000,50,122.4950,0.2719
CBO,1000,50,1036.3980,1.4186
GTO,1000,50,485.7948,1.0165
WOA,1000,50,317.9007,1.2432
GWO,1000,50,382.9942,0.8502
HHO,1000,50,303.1493,0.8785
DBO,1000,50,882.1304,1.2767
PSO,1000,50,772.8816,1.5835
AOA,1000,50,711.2949,1.5354
LSCBO-LS-final,1000,51,151.8443,0.3220
LSCBO-LS-wrong,1000,51,167.6338,0.3728
CBO,1000,51,363.3294,1.2456
GTO,1000,51,407.5714,0.8296
WOA,1000,51,373.5640,0.8773
GWO,1000,51,508.7773,0.9125
HHO,1000,51,478.2705,1.0158
DBO,1000,51,418.4814,0.8292
PSO,1000,51,542.7529,0.9070
AOA,1000,51,492.0335,0.8974
LSCBO-LS-final,1000,52,203.9105,0.4989
LSCBO-LS-wrong,1000,52,171.5707,0.3987
CBO,1000,52,730.1152,1.2123
GTO,1000,52,576.5522,1.0855
WOA,1000,52,622.9770,1.0765
GWO,1000,52,674.1741,1.1178
HHO,1000,52,547.7017,1.0351
DBO,1000,52,695.3272,1.0551
PSO,1000,52,677.9876,1.2990
AOA,1000,52,582.2244,1.1767
LSCBO-LS-final,1000,53,138.7221,0.3525
