Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
AOA,300,23,65,106.564000,0.008537,0.117158,0.103007,5.509913
GWO,300,23,65,68.062000,0.008690,0.117930,0.296174,3.264431
LF-CBO,300,24,66,43.518000,0.009693,0.119000,0.456119,2.107756
CBO,300,24,66,235.856667,0.009569,0.081556,-1.488999,12.956632
PSO,300,24,66,236.535333,0.010218,0.082029,-1.659089,14.535221
AOA,300,24,66,321.500667,0.009101,0.080385,-1.627070,14.289671
GWO,300,24,66,94.834000,0.009480,0.100076,0.130473,5.000272
LF-CBO,300,25,67,53.292000,0.008324,0.096518,0.252792,3.093658
CBO,300,25,67,46.520000,0.008182,0.093541,0.372630,2.382829
PSO,300,25,67,44.766000,0.008248,0.091497,0.399495,2.744264
AOA,300,25,67,43.938000,0.008284,0.097984,0.434387,2.436173
GWO,300,25,67,46.142000,0.008026,0.096762,0.428932,2.638914
LF-CBO,300,26,68,36.910000,0.008197,0.102479,0.437515,1.988784
CBO,300,26,68,134.158000,0.007532,0.096936,-0.598977,7.749190
PSO,300,26,68,47.250000,0.008288,0.101479,0.366026,2.639011
AOA,300,26,68,138.952667,0.007577,0.096924,-0.583529,8.030753
GWO,300,26,68,40.954000,0.008203,0.099265,0.439582,2.202965
LF-CBO,300,27,69,34.958000,0.008224,0.096357,0.472428,2.050410
CBO,300,27,69,50.382000,0.008233,0.091533,0.335964,3.225097
PSO,300,27,69,81.628000,0.007869,0.093423,0.214190,5.008266
AOA,300,27,69,201.046000,0.007518,0.083268,-1.202119,13.029234
GWO,300,27,69,70.560000,0.007929,0.088908,0.210791,4.412637
LF-CBO,300,28,70,45.210000,0.007602,0.104595,0.373146,2.556102
CBO,300,28,70,71.234000,0.007368,0.086975,0.336861,2.429560
PSO,300,28,70,52.596000,0.007697,0.090490,0.248941,3.053189
AOA,300,28,70,55.308000,0.008139,0.104067,0.418297,3.127328
GWO,300,28,70,38.378000,0.008025,0.095762,0.595251,2.099807
