Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
CBO,500,4,46,272.332667,0.012880,0.140885,-0.984675,10.626212
PSO,500,4,46,91.538000,0.014397,0.156821,0.272498,3.296641
LSCBO,500,5,47,124.250000,0.014252,0.153990,0.260446,2.712185
CBO,500,5,47,118.810000,0.013929,0.158560,0.271873,2.509472
PSO,500,5,47,80.426000,0.013521,0.181051,0.313417,2.382591
LSCBO,500,6,48,123.316000,0.014723,0.188896,0.168726,3.593012
CBO,500,6,48,106.358000,0.014857,0.192070,0.161202,2.957428
PSO,500,6,48,98.760000,0.014535,0.185652,0.255974,2.924956
LSCBO,500,7,49,80.716000,0.013977,0.153259,0.399349,2.992295
CBO,500,7,49,78.438000,0.013327,0.159478,0.421401,2.508839
PSO,500,7,49,72.230000,0.013572,0.162135,0.328185,2.488760
LSCBO,500,8,50,76.374000,0.014763,0.166808,0.462317,2.534027
CBO,500,8,50,441.757333,0.015624,0.118639,-2.253793,17.533481
PSO,500,8,50,448.098000,0.015593,0.120812,-2.328928,18.312253
LSCBO,500,9,51,119.198000,0.014137,0.163315,0.175916,3.160650
CBO,500,9,51,142.702000,0.014150,0.157302,0.139960,3.152573
PSO,500,9,51,108.982000,0.014410,0.170329,0.249088,3.694708
LSCBO,500,10,52,87.770000,0.014721,0.197139,0.434995,2.501310
CBO,500,10,52,479.752000,0.011834,0.168525,-1.671077,15.450360
PSO,500,10,52,271.762000,0.013138,0.187038,-0.352238,8.357866
LSCBO,500,11,53,97.178000,0.014286,0.196555,0.280564,2.681156
CBO,500,11,53,409.192000,0.012919,0.171859,-1.202449,13.639466
PSO,500,11,53,75.222000,0.014325,0.193689,0.381876,2.298101
LSCBO,500,12,54,73.998000,0.012989,0.181441,0.396036,2.257730
CBO,500,12,54,113.128000,0.012929,0.163159,0.300140,2.280376
PSO,500,12,54,80.130000,0.013473,0.175461,0.355613,2.707261
LSCBO,500,13,55,65.976000,0.013625,0.181907,0.491110,1.868630
CBO,500,13,55,189.592000,0.013140,0.165210,-0.150494,6.667487
PSO,500,13,55,74.630000,0.013588,0.178381,0.422124,2.319210
LSCBO,500,14,56,91.178000,0.012661,0.194643,0.394125,2.583631
CBO,500,14,56,375.478000,0.011931,0.144426,-1.690093,13.678157
PSO,500,14,56,484.296000,0.011715,0.134846,-2.385881,15.662716
LSCBO,500,15,57,71.924000,0.015633,0.152774,0.478986,2.771140
CBO,500,15,57,454.715333,0.012213,0.129073,-2.469460,18.192209
PSO,500,15,57,73.578000,0.015338,0.153549,0.337207,2.743555
LSCBO,500,16,58,129.694000,0.012929,0.171097,0.199717,3.290410
CBO,500,16,58,130.858000,0.013247,0.170137,0.217114,2.417856
PSO,500,16,58,99.318000,0.013533,0.178607,0.270613,2.993903
LSCBO,500,17,59,95.742000,0.015091,0.168791,0.293149,3.228805
CBO,500,17,59,377.658000,0.012868,0.141709,-1.850576,14.650146
PSO,500,17,59,79.718000,0.014689,0.169307,0.376219,2.758908
LSCBO,500,18,60,57.594000,0.014034,0.172480,0.531621,1.881284
CBO,500,18,60,327.223000,0.015694,0.125399,-1.750445,14.242109
PSO,500,18,60,78.454000,0.014261,0.170664,0.267462,2.722386
LSCBO,500,19,61,83.650000,0.013089,0.189860,0.423470,2.605171
CBO,500,19,61,398.727333,0.014423,0.128179,-1.734920,16.032809
PSO,500,19,61,411.667333,0.014932,0.119927,-2.187841,16.860879
LSCBO,500,20,62,55.022000,0.015478,0.140372,0.584056,1.962842
CBO,500,20,62,242.898000,0.014022,0.130545,-0.930872,10.199371
PSO,500,20,62,63.768000,0.014937,0.143400,0.534104,2.444305
LSCBO,500,21,63,90.494000,0.013089,0.188501,0.271691,2.674977
CBO,500,21,63,458.512667,0.016082,0.115534,-2.586228,16.865997
PSO,500,21,63,68.136000,0.013044,0.183489,0.398549,2.060193
LSCBO,500,22,64,75.946000,0.014110,0.160237,0.428645,2.668389
CBO,500,22,64,86.438000,0.014914,0.163149,0.340788,3.118574
PSO,500,22,64,85.258000,0.014967,0.165746,0.327923,2.980189
LSCBO,500,23,65,95.962000,0.014310,0.185494,0.343636,3.076805
CBO,500,23,65,112.350000,0.014615,0.195558,0.286115,3.232331
PSO,500,23,65,84.406000,0.014156,0.188101,0.326503,2.595740
LSCBO,500,24,66,80.166000,0.015137,0.186045,0.485623,2.417729
CBO,500,24,66,449.295333,0.016059,0.119174,-2.236437,14.724759
PSO,500,24,66,441.596667,0.016206,0.124778,-2.256771,17.077576
LSCBO,500,25,67,60.408000,0.013369,0.158114,0.354000,2.152310
CBO,500,25,67,85.302000,0.013727,0.157468,0.303868,3.040784
PSO,500,25,67,70.238000,0.013995,0.159194,0.357983,2.587812
LSCBO,500,26,68,100.510000,0.014418,0.181911,0.299787,3.244025
CBO,500,26,68,241.042000,0.013026,0.169311,-0.326881,8.209542
PSO,500,26,68,70.922000,0.014073,0.174087,0.436309,2.261154
LSCBO,500,27,69,51.428000,0.013722,0.156334,0.625368,1.593264
CBO,500,27,69,65.230000,0.013955,0.165387,0.411960,2.274460
PSO,500,27,69,77.582000,0.013785,0.163390,0.378241,2.714470
LSCBO,500,28,70,107.904667,0.012398,0.144589,0.274877,2.759546
CBO,500,28,70,80.860000,0.012273,0.147203,0.324710,1.990037
PSO,500,28,70,82.174000,0.012447,0.151663,0.262442,2.894915
LSCBO,500,29,71,72.134000,0.014759,0.185458,0.417224,2.191831
CBO,500,29,71,244.600000,0.012800,0.171922,-0.358375,8.319856
PSO,500,29,71,82.346000,0.014559,0.186633,0.311890,2.560238
LSCBO,500,30,72,68.414000,0.014127,0.199797,0.501014,1.871060
CBO,500,30,72,121.286000,0.013418,0.167344,0.334356,2.365219
PSO,500,30,72,143.990000,0.013765,0.177559,0.164400,4.607560
LSCBO,800,1,43,136.654000,0.026384,0.321257,0.422981,2.343506
CBO,800,1,43,820.604667,0.019228,0.208476,-2.784963,17.212356
PSO,800,1,43,796.756667,0.019478,0.213250,-2.768155,18.060407
LSCBO,800,2,44,194.694000,0.025805,0.235121,0.158112,2.855447
CBO,800,2,44,215.038000,0.025227,0.247797,0.155894,3.522533
PSO,800,2,44,158.394000,0.025430,0.259048,0.263443,3.597426
LSCBO,800,3,45,92.540000,0.024993,0.236990,0.549561,1.945672
CBO,800,3,45,668.898000,0.024657,0.193221,-2.092364,17.538184
PSO,800,3,45,208.164667,0.024925,0.230371,0.147345,4.910316
LSCBO,800,4,46,77.402000,0.022335,0.245924,0.637430,1.550029
CBO,800,4,46,561.798667,0.020202,0.217764,-1.800766,14.533963
PSO,800,4,46,117.330000,0.022583,0.250067,0.354156,2.547466
LSCBO,800,5,47,104.550000,0.022986,0.294357,0.512311,1.751553
CBO,800,5,47,755.027333,0.024681,0.192518,-2.592829,20.261596
PSO,800,5,47,134.602000,0.022325,0.290295,0.338890,2.601373
LSCBO,800,6,48,146.416000,0.024057,0.305055,0.247323,2.794294
CBO,800,6,48,201.068000,0.023661,0.314290,0.157548,3.164478
PSO,800,6,48,155.700000,0.023808,0.309643,0.215129,3.022081
LSCBO,800,7,49,136.720000,0.022120,0.261557,0.300770,2.900131
CBO,800,7,49,159.046000,0.022037,0.265290,0.223774,3.249609
PSO,800,7,49,124.746000,0.021853,0.266002,0.302210,2.790517
LSCBO,800,8,50,131.302000,0.023257,0.278315,0.448389,2.584012
CBO,800,8,50,758.206000,0.025051,0.186176,-2.539638,18.280677
PSO,800,8,50,159.326000,0.023098,0.275367,0.280320,3.440858
LSCBO,800,9,51,126.592000,0.022492,0.267928,0.251464,2.619535
CBO,800,9,51,213.238000,0.022030,0.258424,0.219107,2.868906
PSO,800,9,51,189.674000,0.022240,0.271236,0.191838,4.124361
LSCBO,800,10,52,125.474000,0.022391,0.311490,0.527177,2.054059
CBO,800,10,52,529.968000,0.019699,0.280458,-0.830983,11.057021
PSO,800,10,52,138.714000,0.022692,0.310960,0.403012,2.664586
LSCBO,800,11,53,112.798000,0.023839,0.316767,0.542685,1.879514
CBO,800,11,53,682.750000,0.020020,0.274374,-1.454181,14.648752
PSO,800,11,53,137.940000,0.022658,0.315426,0.409558,2.454523
LSCBO,800,12,54,153.034000,0.021242,0.279147,0.273291,3.085866
CBO,800,12,54,268.282000,0.020324,0.270126,0.150952,3.562397
PSO,800,12,54,134.730000,0.020828,0.286321,0.306847,2.726692
LSCBO,800,13,55,124.642000,0.022013,0.287804,0.502244,2.291170
CBO,800,13,55,583.452000,0.019884,0.267553,-1.108106,12.567194
PSO,800,13,55,170.422000,0.021717,0.296740,0.305534,3.333660
LSCBO,800,14,56,99.616000,0.020663,0.312374,0.574809,1.823430
CBO,800,14,56,732.932667,0.019280,0.220121,-2.352263,18.010435
