Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
PSO,1000,30,72,6108.064567,0.028392,0.377703,0.204914,3.844139
AOA,100,1,43,442.134872,0.002874,0.024745,-0.757891,7.124450
GWO,100,1,43,498.050015,0.003211,0.030463,0.094937,4.416994
AOA,100,2,44,383.578690,0.003235,0.021865,-1.021418,7.487755
GWO,100,2,44,415.061904,0.003206,0.025038,-0.078727,6.223208
AOA,100,3,45,385.032493,0.003229,0.022201,-0.712804,6.984026
GWO,100,3,45,404.733115,0.003285,0.024560,0.086889,5.337889
AOA,100,4,46,443.636027,0.002567,0.025350,-1.008608,9.728055
GWO,100,4,46,427.441573,0.002800,0.025678,-0.168206,7.704986
AOA,100,5,47,415.615377,0.003051,0.023797,-0.746023,6.789547
GWO,100,5,47,498.182855,0.002943,0.030306,-0.044148,5.058734
AOA,100,6,48,585.058013,0.002752,0.034560,-0.602387,6.759981
GWO,100,6,48,504.964397,0.002870,0.030923,0.141115,4.074785
AOA,100,7,49,536.624349,0.002917,0.032751,0.039375,5.449092
GWO,100,7,49,477.521630,0.002753,0.029469,0.299756,3.330684
AOA,100,8,50,401.244306,0.003146,0.022471,-0.819064,7.093327
GWO,100,8,50,442.019848,0.003178,0.026839,-0.033666,4.943413
AOA,100,9,51,525.798301,0.002779,0.032620,0.355681,2.925212
GWO,100,9,51,497.696379,0.002786,0.030801,0.333889,2.736892
AOA,100,10,52,523.797763,0.002515,0.030165,-0.653445,7.903194
GWO,100,10,52,508.737396,0.002725,0.031280,0.313841,3.704369
AOA,100,11,53,497.696030,0.002549,0.027574,-1.189913,9.304077
GWO,100,11,53,476.199960,0.003036,0.028665,-0.076792,5.960882
AOA,100,12,54,537.053273,0.002789,0.032968,0.170928,4.414508
GWO,100,12,54,453.105396,0.002613,0.027537,0.043566,5.956233
AOA,100,13,55,484.353661,0.002653,0.026990,-1.096937,9.397501
GWO,100,13,55,537.853433,0.002759,0.032903,0.231936,4.198082
AOA,100,14,56,442.220636,0.002323,0.024621,-0.762823,5.890565
GWO,100,14,56,483.773861,0.002460,0.029788,0.240958,3.425167
AOA,100,15,57,436.708411,0.002570,0.025115,-0.862807,6.444629
GWO,100,15,57,429.880470,0.003081,0.026457,0.208657,3.789618
AOA,100,16,58,534.030217,0.002539,0.030679,-0.847584,6.841121
GWO,100,16,58,533.012800,0.002555,0.032465,0.006668,5.206546
AOA,100,17,59,486.220125,0.002631,0.027519,-1.011836,8.539121
GWO,100,17,59,519.502933,0.002979,0.031776,0.179518,4.832393
AOA,100,18,60,419.475613,0.003002,0.023488,-0.951780,8.061352
