Algorithm,Function,Mean,Std
GTO,Step,3.7666666667e+00,3.3831280726e+00
GTO,Bohachevsky,1.1650771644e+01,3.2732000839e+00
GTO,Quartic,2.7499709957e-03,1.2627949211e-03
GTO,Exponential,1.2844399427e-06,1.5346712880e-06
GTO,Alpine,1.3375115836e+00,1.2138949529e+00
GTO,Hybrid Function 1,2.4765536791e+01,9.9493110037e+00
GTO,Hybrid Function 2,1.4965667040e+01,7.5320692346e-01
GTO,Expanded Schaffer F6,6.5354053812e+00,2.6326529573e+00
GTO,Pathological,1.4138569335e+00,7.1811332804e-01
GTO,Periodic,1.0006267646e+00,1.3319246621e-03
GTO,Salomon,4.4320667918e-01,7.6084748070e-02
GTO,Styblinski-Tang,-1.1310742850e+03,2.3777120400e+01
GTO,Weierstrass,6.7610982538e+00,6.4206849187e+00
GTO,Xin-She Yang,3.6167521424e-12,3.2076019263e-13
GTO,Sum Of Different Powers,1.7122906429e-39,9.2209673098e-39
