Algorithm,Function,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Mean,Std
CBO,Zakharov,1.1589152646e+02,1.6146837469e+02,1.2873076010e+02,1.4405157723e+02,1.9687725582e+02,1.4370605834e+02,2.2848637548e+02,2.7021671107e+02,1.2414419889e+02,1.3908346879e+02,5.3292955171e+01,2.0055126160e+02,1.8282393478e+02,2.3070556671e+02,1.5492206142e+02,1.7810007794e+02,1.2578759021e+02,1.2800484904e+02,1.8606681336e+02,3.6139692562e+02,1.4494815226e+02,1.1003149974e+02,1.4444854400e+02,1.7940378571e+02,1.8363087618e+02,1.5558104267e+02,2.4735690934e+02,1.8902038980e+02,1.4976209258e+02,1.1381501614e+02,1.6907688837e+02,5.7115257603e+01
CBO,Rosenbrock,1.1523708500e+06,1.1577159405e+06,5.7778430403e+05,4.5664914221e+05,2.6727773816e+05,1.0256267264e+06,1.7163449267e+06,5.2118754714e+05,1.2845780436e+06,4.8546665101e+05,1.7577533683e+06,5.9035255708e+05,1.6907254524e+05,1.7907659906e+06,3.7287139929e+06,1.1935516993e+06,1.4036654661e+06,2.3689046177e+06,3.8537969781e+05,3.0000602941e+05,2.0138316560e+06,1.8546510548e+06,2.1151645022e+06,1.2066863529e+06,1.4180370194e+06,9.6377582639e+04,1.0174934693e+06,1.1870949932e+06,2.9079593103e+06,1.0064535294e+06,1.2385639101e+06,8.2859556311e+05
CBO,Rastrigin,2.0515234933e+02,2.3068208148e+02,1.4762997271e+02,1.9714480314e+02,1.9018491365e+02,1.8252072165e+02,1.8188850053e+02,1.8435769222e+02,1.6081530499e+02,1.5941818377e+02,2.2262219588e+02,1.7332093915e+02,1.1629736356e+02,1.7831877523e+02,1.7334142367e+02,1.5793287431e+02,1.6811861292e+02,1.6407893245e+02,1.8161929334e+02,1.5324411534e+02,1.7080389610e+02,1.7718794707e+02,1.8878030552e+02,1.4990692094e+02,2.0817780845e+02,1.4543153873e+02,1.3954570486e+02,1.7923934831e+02,2.1078120436e+02,2.1165632313e+02,1.7700666823e+02,2.5440127265e+01
CBO,Ackley,9.8471026534e+00,1.0602990991e+01,1.0571945447e+01,1.1326378087e+01,9.6855193054e+00,1.1753531250e+01,1.1227140921e+01,1.0468539326e+01,1.0985991044e+01,9.4827983762e+00,1.1297119122e+01,1.0440799808e+01,1.2273403140e+01,1.0965566769e+01,1.3996804900e+01,9.9206604956e+00,1.2606404176e+01,1.1817389475e+01,9.2369465915e+00,1.2184225525e+01,1.1909848868e+01,8.6856554443e+00,1.1410342301e+01,1.2468736673e+01,1.2609075421e+01,9.6898576301e+00,8.4481137885e+00,1.3349892003e+01,1.0415871048e+01,1.0871268564e+01,1.1018330638e+01,1.3144617658e+00
CBO,Griewank,1.4520655234e+01,2.2306825535e+01,1.7551442662e+01,2.8936579495e+01,1.4081897610e+01,1.4289944076e+01,1.2942984430e+01,2.7193479109e+01,2.0120918118e+01,3.0332733073e+01,3.6389298129e+01,2.2155397398e+01,4.0645489955e+01,1.4327902336e+01,2.9754727842e+01,2.6008046395e+01,2.5163132880e+01,2.8671301225e+01,1.4381532749e+01,1.9891894288e+01,3.7020000643e+01,2.2847920627e+01,2.9946440667e+01,2.1794031132e+01,4.9518829193e+01,2.0682053091e+01,1.2318234362e+01,2.8333262513e+01,2.2921155669e+01,2.8795233391e+01,2.4461444794e+01,8.7225328243e+00
CBO,Levy,1.3433923881e+01,1.0186828404e+01,1.1805321981e+01,1.1940775019e+01,8.0815742813e+00,1.2321645444e+01,7.3337627504e+00,1.9655985950e+01,1.3097435337e+01,1.6272061961e+01,1.8056333138e+01,1.7301608698e+01,8.1892688359e+00,9.4546740284e+00,1.3883426510e+01,1.3232358869e+01,1.1381058792e+01,1.1813434829e+01,9.0078323233e+00,8.5450793944e+00,1.5077298044e+01,1.3394493867e+01,1.9044143010e+01,8.3511945495e+00,1.5676462554e+01,3.0118492716e+01,1.7505952231e+01,1.6280487450e+01,2.1351784525e+01,9.1796645997e+00,1.3699145466e+01,4.8525769706e+00
CBO,Schwefel,7.0614014866e+03,6.9469489122e+03,6.6105318246e+03,6.3210713223e+03,6.2988914667e+03,7.1859784373e+03,7.3047945231e+03,6.0427201855e+03,6.6136106330e+03,6.6323693908e+03,6.4241589955e+03,5.9939415437e+03,6.6158932928e+03,8.0598398786e+03,6.5877656365e+03,8.1771070626e+03,7.4078708333e+03,7.4030543326e+03,5.5867544693e+03,7.2025363501e+03,6.6536970114e+03,6.6478208012e+03,7.9056753367e+03,7.0600998871e+03,6.5979899634e+03,5.5531780055e+03,6.5430944697e+03,6.9297574029e+03,7.7243250711e+03,6.3546648732e+03,6.8149181133e+03,6.4358658313e+02
CBO,Michalewicz,-1.8748274513e+01,-1.5675244339e+01,-1.5478760452e+01,-1.5866481763e+01,-1.5223846852e+01,-1.3856641059e+01,-1.5689852198e+01,-1.3858372252e+01,-1.4465878326e+01,-1.5648379095e+01,-1.6678498587e+01,-1.5136280808e+01,-1.6031277275e+01,-1.4679739550e+01,-1.7062647323e+01,-1.4271485370e+01,-1.6306261812e+01,-1.5815121847e+01,-1.4547668782e+01,-1.6812437751e+01,-1.6133972771e+01,-1.7603231010e+01,-1.9564466269e+01,-1.4727492286e+01,-1.4559820888e+01,-1.5248027085e+01,-1.5579795577e+01,-1.5438497936e+01,-1.4776715273e+01,-1.5811227445e+01,-1.5709879883e+01,1.2821913782e+00
CBO,Bent Cigar,2.3172087777e+09,3.6667771485e+09,1.2222595080e+09,4.0622621253e+09,1.2983144270e+09,3.5936418034e+09,1.8974518092e+09,3.5888050966e+09,1.6927373991e+09,2.8457629592e+09,2.0962307788e+09,1.2032500285e+09,4.0004275361e+09,2.2688144045e+09,2.1957976894e+09,2.7234458185e+09,3.4660152132e+09,2.5556139949e+09,2.0885341000e+09,1.8654482353e+09,2.7349130614e+09,1.2973009618e+09,2.9250935917e+09,3.0851915640e+09,5.4283132498e+09,2.4722862482e+09,1.6548295467e+09,3.0797784545e+09,3.8650088262e+09,9.2523786367e+08,2.6038917407e+09,1.0311540853e+09
CBO,Discus,4.5723204384e+04,3.5463719501e+04,4.4088063517e+04,3.7185224987e+04,4.5784627182e+04,2.7824659255e+04,4.6650558488e+04,3.6471482371e+04,2.5437979498e+04,5.5610997615e+04,4.3188198730e+04,5.7671696429e+04,2.0082078088e+04,2.1981144678e+04,4.0541117644e+04,4.2782866645e+04,3.9915320098e+04,2.7952785507e+04,4.2764670964e+04,2.5542953338e+04,4.3361209105e+04,5.3890057181e+04,2.1484045958e+04,6.5755036328e+04,4.4027966718e+04,3.4344995407e+04,2.7836642940e+04,2.9264811868e+04,3.5460517986e+04,5.5469382573e+04,3.9118600500e+04,1.1466156388e+04
