group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|vm_heterogeneity|GREEDY_LPT|GREEDY_LPT|W0_equal|medium_5_to_1|NONE|N1000,30,176.91460989,612.55005557,1319.15387898,0.00203995,1.00000000
formalfull|vm_heterogeneity|GREEDY_LPT|GREEDY_LPT|W0_equal|medium_5_to_1|NONE|N2000,30,353.68233088,1226.11154480,2639.49716230,0.00107077,1.00000000
formalfull|vm_heterogeneity|GREEDY_LPT|GREEDY_LPT|W0_equal|medium_5_to_1|NONE|N500,30,88.94446874,307.03630958,661.66960895,0.00431440,1.00000000
formalfull|vm_heterogeneity|GREEDY_LPT|GREEDY_LPT|W0_equal|near_homogeneous_1_5_to_1|NONE|N1000,30,127.24920082,440.68394004,947.79371276,0.00151398,1.00000000
formalfull|vm_heterogeneity|GREEDY_LPT|GREEDY_LPT|W0_equal|near_homogeneous_1_5_to_1|NONE|N2000,30,254.33238643,881.86137872,1896.11549027,0.00072073,1.00000000
formalfull|vm_heterogeneity|GREEDY_LPT|GREEDY_LPT|W0_equal|near_homogeneous_1_5_to_1|NONE|N500,30,64.02921551,220.92651926,475.46775522,0.00374733,1.00000000
formalfull|vm_heterogeneity|LSCBO|LSCBO|W0_equal|heterogeneous_20_to_1|LEVY|N1000,30,196.94837300,681.18071253,1484.20564260,0.00375400,0.99501012
formalfull|vm_heterogeneity|LSCBO|LSCBO|W0_equal|heterogeneous_20_to_1|LEVY|N2000,30,393.65652897,1363.94303674,2970.26276247,0.00209155,0.99535336
formalfull|vm_heterogeneity|LSCBO|LSCBO|W0_equal|heterogeneous_20_to_1|LEVY|N500,30,98.99063718,341.22559051,744.14197470,0.00655960,0.99305619
formalfull|vm_heterogeneity|LSCBO|LSCBO|W0_equal|medium_5_to_1|LEVY|N1000,30,176.91434603,612.49711362,1319.11178027,0.00191641,0.98438591
formalfull|vm_heterogeneity|LSCBO|LSCBO|W0_equal|medium_5_to_1|LEVY|N2000,30,353.68019439,1226.06104205,2639.45656621,0.00101799,0.98714705
formalfull|vm_heterogeneity|LSCBO|LSCBO|W0_equal|medium_5_to_1|LEVY|N500,30,88.94250074,306.97196042,661.61555233,0.00407589,0.98534301
formalfull|vm_heterogeneity|LSCBO|LSCBO|W0_equal|near_homogeneous_1_5_to_1|LEVY|N1000,30,127.24920082,440.68393610,947.79370455,0.00150812,0.99903369
formalfull|vm_heterogeneity|LSCBO|LSCBO|W0_equal|near_homogeneous_1_5_to_1|LEVY|N2000,30,254.33238643,881.86137562,1896.11548952,0.00071765,0.99888877
formalfull|vm_heterogeneity|LSCBO|LSCBO|W0_equal|near_homogeneous_1_5_to_1|LEVY|N500,30,64.02921551,220.92644230,475.46733427,0.00364954,0.99385107
formalfull|weight_sensitivity|CBO|CBO|W0_equal|default_4_to_1|NONE|N100,30,17.86014767,57.74416835,126.71077617,0.04112757,0.99996433
formalfull|weight_sensitivity|CBO|CBO|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W0_equal|default_4_to_1|NONE|N300,30,50.09622690,171.96930539,374.14564975,0.00760588,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W0_equal|default_4_to_1|NONE|N800,30,134.36359743,464.96522158,1009.71669181,0.00232706,0.99986479
formalfull|weight_sensitivity|CBO|CBO|W1_makespan_priority|default_4_to_1|NONE|N100,30,17.86014767,57.74416835,126.71077617,0.04112757,0.99997860
formalfull|weight_sensitivity|CBO|CBO|W1_makespan_priority|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W1_makespan_priority|default_4_to_1|NONE|N300,30,50.09622690,171.96930539,374.14564975,0.00760588,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W1_makespan_priority|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W1_makespan_priority|default_4_to_1|NONE|N800,30,134.36359743,464.96522158,1009.71669181,0.00232706,0.99993163
formalfull|weight_sensitivity|CBO|CBO|W2_energy_priority|default_4_to_1|NONE|N100,30,17.86014767,57.74416835,126.71077617,0.04112757,0.99999422
formalfull|weight_sensitivity|CBO|CBO|W2_energy_priority|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W2_energy_priority|default_4_to_1|NONE|N300,30,50.09622690,171.97023262,374.14636133,0.00760059,0.99992733
formalfull|weight_sensitivity|CBO|CBO|W2_energy_priority|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W2_energy_priority|default_4_to_1|NONE|N800,30,134.36359743,464.96522158,1009.71669181,0.00232706,0.99991763
formalfull|weight_sensitivity|CBO|CBO|W3_cost_priority|default_4_to_1|NONE|N100,30,17.86014767,57.74416835,126.71077617,0.04112757,0.99998434
formalfull|weight_sensitivity|CBO|CBO|W3_cost_priority|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W3_cost_priority|default_4_to_1|NONE|N300,30,50.09622690,171.96930539,374.14564975,0.00760588,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W3_cost_priority|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|CBO|CBO|W3_cost_priority|default_4_to_1|NONE|N800,30,134.36359743,464.96522158,1009.71669181,0.00232706,0.99991927
formalfull|weight_sensitivity|CBO|CBO|W4_balance_priority|default_4_to_1|NONE|N100,30,17.86014767,57.74602795,126.71219154,0.04112510,0.99987698
formalfull|weight_sensitivity|CBO|CBO|W4_balance_priority|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
