Variant,TaskCount,Seed,Makespan,LoadBalanceRatio
base,500,51,189.6402,0.7919
noPhase1,500,51,219.9140,0.8475
noPhase2,500,51,189.6402,0.7919
noPhase3,500,51,189.6402,0.7919
pop50,500,51,191.1278,0.7681
LS-only,500,51,50.6429,0.0909
FULL,500,51,51.0868,0.0903
base,500,52,311.3244,1.1527
noPhase1,500,52,284.5231,1.0693
noPhase2,500,52,313.5377,1.0056
noPhase3,500,52,311.3244,1.1527
pop50,500,52,253.9943,0.9595
LS-only,500,52,71.8730,0.2562
FULL,500,52,54.8325,0.1265
base,500,53,172.5003,0.6905
noPhase1,500,53,187.0615,0.7437
noPhase2,500,53,172.5003,0.6905
noPhase3,500,53,172.5003,0.6905
pop50,500,53,152.1696,0.6970
LS-only,500,53,45.6335,0.0320
FULL,500,53,45.8923,0.0467
base,500,54,161.7426,0.6540
noPhase1,500,54,206.7560,0.8102
noPhase2,500,54,161.7426,0.6540
noPhase3,500,54,161.7426,0.6540
pop50,500,54,155.7975,0.6212
LS-only,500,54,48.8310,0.0608
FULL,500,54,45.8480,0.0379
base,500,55,154.5236,0.6373
noPhase1,500,55,142.5409,0.7609
noPhase2,500,55,154.5236,0.6373
noPhase3,500,55,164.6549,0.6839
pop50,500,55,159.2316,0.6192
LS-only,500,55,47.6774,0.0474
FULL,500,55,47.4367,0.0405
base,500,56,255.3361,0.9223
noPhase1,500,56,245.2791,0.8971
noPhase2,500,56,255.3361,0.9223
noPhase3,500,56,255.3361,0.9223
pop50,500,56,219.4645,0.8180
LS-only,500,56,53.1528,0.1668
FULL,500,56,43.9647,0.0499
base,500,57,201.1152,0.7956
noPhase1,500,57,214.7035,0.8577
noPhase2,500,57,201.1152,0.7956
noPhase3,500,57,201.1152,0.7956
pop50,500,57,194.9885,0.7847
LS-only,500,57,46.4345,0.0738
FULL,500,57,51.3814,0.1177
base,500,58,155.4346,0.6848
noPhase1,500,58,166.5545,0.7350
noPhase2,500,58,155.4346,0.6848
noPhase3,500,58,155.4346,0.6848
pop50,500,58,151.7119,0.7054
LS-only,500,58,41.5326,0.0290
FULL,500,58,42.7918,0.0526
base,500,59,135.3193,0.6899
noPhase1,500,59,169.9683,0.8765
noPhase2,500,59,135.3193,0.6899
noPhase3,500,59,135.3193,0.6899
pop50,500,59,144.9932,0.7422
LS-only,500,59,41.5980,0.0482
FULL,500,59,40.5767,0.0387
base,500,60,183.9000,0.7471
noPhase1,500,60,183.9000,0.7471
noPhase2,500,60,183.9000,0.7471
noPhase3,500,60,183.9000,0.7471
pop50,500,60,173.1389,0.7925
LS-only,500,60,43.4836,0.0801
FULL,500,60,43.4836,0.0801
